Zone,Line name ,Station,City council
1&2,Lilydale line,Canterbury,Boroondara C  
1,Lilydale line,East Camberwell,Boroondara C  
1,Lilydale line,Camberwell,Boroondara C  
1,Lilydale line,Auburn,Boroondara C  
1,Lilydale line,Glenferrie,Boroondara C  
1,Lilydale line,Hawthorn,Boroondara C  
1,Lilydale line,Burnley,Yarra C  
1,Lilydale line,East Richmond,Yarra C  
1,Lilydale line,Richmond,Yarra C  
1,Lilydale line,Parliament,Melbourne C  
1,Lilydale line,Melbourne Central,Melbourne C  
1,Lilydale line,Flagstaff,Melbourne C  
1,Lilydale line,Southern Cross,Melbourne C  
1,Lilydale line,Flinders Street,Melbourne C  
2,Mernda line,Mernda,Whittlesea C  
2,Mernda line,Hawkstowe,Whittlesea C  
2,Mernda line,Middle Gorge,Whittlesea C  
2,Mernda line,South Morang,Whittlesea C  
2,Mernda line,Epping,Whittlesea C  
2,Mernda line,Lalor,Whittlesea C  
2,Mernda line,Thomastown,Whittlesea C  
2,Mernda line,Keon Park,Darebin C  
2,Mernda line,Ruthven,Darebin C  
1&2,Mernda line,Reservoir,Darebin C  
1&2,Mernda line,Regent,Darebin C  
1&2,Mernda line,Preston,Darebin C  
1,Mernda line,Bell,Darebin C  
1,Mernda line,Thornbury,Darebin C  
1,Mernda line,Croxton,Darebin C  
1,Mernda line,Northcote,Darebin C  
1,Mernda line,Merri,Darebin C  
1,Mernda line,Rushall,Yarra C  
1,Mernda line,Clifton Hill,Yarra C  
1,Mernda line,Victoria Park,Yarra C  
1,Mernda line,Collingwood,Yarra C  
1,Mernda line,North Richmond,Yarra C  
1,Mernda line,West Richmond,Yarra C  
1,Mernda line,Jolimont-MCG,Melbourne C  
1,Mernda line,Parliament,Melbourne C  
1,Mernda line,Melbourne Central,Melbourne C  
1,Mernda line,Flagstaff,Melbourne C  
1,Mernda line,Southern Cross,Melbourne C  
1,Mernda line,Flinders Street,Melbourne C  
2,Pakenham line,Pakenham,Cardinia S  
2,Pakenham line,Cardinia Road,Cardinia S  
2,Pakenham line,Officer,Cardinia S  
2,Pakenham line,Beaconsfield,Cardinia S  
2,Pakenham line,Berwick,Casey C  
2,Pakenham line,Narre Warren,Casey C  
2,Pakenham line,Hallam,Casey C  
2,Pakenham line,Dandenong,Greater Dandenong C  
2,Pakenham line,Yarraman,Greater Dandenong C  
2,Pakenham line,Noble Park,Greater Dandenong C  
2,Pakenham line,Sandown Park,Greater Dandenong C  
2,Pakenham line,Springvale,Greater Dandenong C  
2,Pakenham line,Westall,Kingston C  
2,Pakenham line,Clayton,Monash C  
1&2,Pakenham line,Huntingdale,Monash C  
1&2,Pakenham line,Oakleigh,Monash C  
1&2,Pakenham line,Hughesdale,Monash C  
1,Pakenham line,Murrumbeena,Glen Eira C  
1,Pakenham line,Carnegie,Glen Eira C  
1,Pakenham line,Caulfield,Glen Eira C  
1,Pakenham line,Malvern,Stonnington C  
1,Pakenham line,Armadale,Stonnington C  
1,Pakenham line,Toorak,Stonnington C  
1,Pakenham line,Hawksburn,Stonnington C  
1,Pakenham line,South Yarra,Melbourne C  
1,Pakenham line,Richmond,Yarra C  
1,Pakenham line,Flinders Street,Melbourne C  
1,Pakenham line,Southern Cross,Melbourne C  
1,Pakenham line,Flagstaff,Melbourne C  
1,Pakenham line,Melbourne Central,Melbourne C  
1,Pakenham line,Parliament,Melbourne C  
2,Sandringham line,Sandringham,Bayside C  
2,Sandringham line,Hampton,Bayside C  
1&2,Sandringham line,Brighton Beach,Bayside C  
1&2,Sandringham line,Middle Brighton,Bayside C  
1&2,Sandringham line,North Brighton,Bayside C  
