With train,City Council_format2,City council,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
No,Hepburn Shire,Hepburn S  ,2021,312,19,145,476
No,Hindmarsh Shire,Hindmarsh S  ,2018,118,4,23,145
No,Hindmarsh Shire,Hindmarsh S  ,2019,98,5,22,125
No,Hindmarsh Shire,Hindmarsh S  ,2020,118,6,20,144
No,Hindmarsh Shire,Hindmarsh S  ,2021,142,2,28,172
Yes,Hobsons Bay City,Hobsons Bay C  ,2018,1045,559,49,1653
Yes,Hobsons Bay City,Hobsons Bay C  ,2019,1142,571,16,1729
Yes,Hobsons Bay City,Hobsons Bay C  ,2020,963,509,27,1499
Yes,Hobsons Bay City,Hobsons Bay C  ,2021,1431,824,21,2276
No,Horsham Rural City,Horsham Rural C  ,2018,327,55,51,433
No,Horsham Rural City,Horsham Rural C  ,2019,318,55,68,441
No,Horsham Rural City,Horsham Rural C  ,2020,391,51,124,566
No,Horsham Rural City,Horsham Rural C  ,2021,453,68,117,638
Yes,Hume City,Hume C  ,2018,3050,537,2077,5664
Yes,Hume City,Hume C  ,2019,3030,493,1822,5345
Yes,Hume City,Hume C  ,2020,2923,514,3281,6718
Yes,Hume City,Hume C  ,2021,4296,809,1270,6375
No,Indigo Shire,Indigo S  ,2018,193,26,82,301
No,Indigo Shire,Indigo S  ,2019,179,20,62,261
No,Indigo Shire,Indigo S  ,2020,171,16,138,325
No,Indigo Shire,Indigo S  ,2021,215,13,52,280
Yes,Kingston City,Kingston C  ,2018,1419,1480,12,2911
Yes,Kingston City,Kingston C  ,2019,1534,1453,36,3023
Yes,Kingston City,Kingston C  ,2020,1238,1319,31,2588
Yes,Kingston City,Kingston C  ,2021,1825,1912,35,3772
Yes,Knox City,Knox C  ,2018,1645,797,48,2490
Yes,Knox City,Knox C  ,2019,1612,808,44,2464
Yes,Knox City,Knox C  ,2020,1352,704,39,2095
Yes,Knox City,Knox C  ,2021,2116,1034,39,3189
No,Latrobe City,Latrobe C  ,2018,1631,238,298,2167
No,Latrobe City,Latrobe C  ,2019,1398,172,323,1893
No,Latrobe City,Latrobe C  ,2020,1548,243,593,2384
No,Latrobe City,Latrobe C  ,2021,1863,266,351,2480
No,Loddon Shire,Loddon S  ,2018,83,2,30,115
No,Loddon Shire,Loddon S  ,2019,85,1,25,111
No,Loddon Shire,Loddon S  ,2020,93,1,38,132
No,Loddon Shire,Loddon S  ,2021,117,0,37,154
No,Macedon Ranges Shire,Macedon Ranges S  ,2018,573,98,186,857
No,Macedon Ranges Shire,Macedon Ranges S  ,2019,475,94,177,746
No,Macedon Ranges Shire,Macedon Ranges S  ,2020,544,81,416,1041
No,Macedon Ranges Shire,Macedon Ranges S  ,2021,654,133,333,1120
No,Manningham City,Manningham C  ,2018,1067,790,48,1905
No,Manningham City,Manningham C  ,2019,1214,899,53,2166
No,Manningham City,Manningham C  ,2020,940,721,54,1715
No,Manningham City,Manningham C  ,2021,1522,1057,40,2619
No,Mansfield Shire,Mansfield S  ,2018,151,29,109,289
No,Mansfield Shire,Mansfield S  ,2019,127,22,102,251
No,Mansfield Shire,Mansfield S  ,2020,176,30,123,329
No,Mansfield Shire,Mansfield S  ,2021,232,22,67,321
Yes,Maribyrnong City,Maribyrnong C  ,2018,743,1182,41,1966
Yes,Maribyrnong City,Maribyrnong C  ,2019,847,943,101,1891
Yes,Maribyrnong City,Maribyrnong C  ,2020,901,949,56,1906
Yes,Maribyrnong City,Maribyrnong C  ,2021,1120,1235,18,2373
Yes,Maroondah City,Maroondah C  ,2018,1220,823,46,2089
Yes,Maroondah City,Maroondah C  ,2019,1215,960,58,2233
Yes,Maroondah City,Maroondah C  ,2020,1000,774,64,1838
Yes,Maroondah City,Maroondah C  ,2021,1501,1266,74,2841
Yes,Melbourne City,Melbourne C  ,2018,304,4531,6,4841
Yes,Melbourne City,Melbourne C  ,2019,274,3828,1,4103
Yes,Melbourne City,Melbourne C  ,2020,224,2832,0,3056
Yes,Melbourne City,Melbourne C  ,2021,399,3777,4,4180
