Zone,Line name ,Stop_name,City council
1,Upfield line,Jewell,Merry-bek C
1,Upfield line,Royal Park,Melbourne C  
1,Upfield line,Flemington Bridge,Moonee Valley C  
1,Upfield line,Macaulay,Melbourne C  
2,Werribee line,Werribee,Wyndham C  
2,Werribee line,Hoppers Crossing,Wyndham C  
2,Werribee line,Williams Landing,Wyndham C  
2,Werribee line,Aircraft,Hobsons Bay C  
1&2,Werribee line,Laverton,Hobsons Bay C  
1&2,Werribee line,Westona,Hobsons Bay C  
1&2,Werribee line,Altona,Hobsons Bay C  
1,Werribee line,Seaholme,Hobsons Bay C  
1,Werribee line,Newport,Hobsons Bay C  
1,Werribee line,Spotswood,Hobsons Bay C  
1,Werribee line,Yarraville,Maribyrnong C  
1,Werribee line,Seddon,Maribyrnong C  
1,Werribee line,Williamstown,Hobsons Bay C  
1,Werribee line,Williamstown Beach,Hobsons Bay C  
1,Werribee line,North Williamstown,Hobsons Bay C  
