Trip_ID,Person_ID,Year,Total_Stops,Trip_Count,Start_Time,Arrival_Time,Trip_Time,Travel_Time,Wait_Time,Duration,Total_Distance,Original_Place_1,Original_Place_2,Original_Purpose_1,Original_Purpose_2,Destination_1,Destination_2,Dest_Purpose_1,Dest_Purpose_2,Starting_LGA,Ending_LGA,Trip_Purpose,Link_Mode,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7
Y18H3060319P02T02,Y18H3060319P02,2018,3,2,995,1050,55,43,12,0.0,16.18,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Boroondara (C),Change Mode,Train,0.38,13.38,2.42,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,9,19.0,15.0,0.0,0.0,0.0,0.0
Y18H3060422P01T01,Y18H3060422P01,2018,3,1,440,515,75,69,6,565.0,24.87,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Nillumbik (S),Melbourne (C),Work Related,Train,1.29,22.58,1.01,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,15,44.0,10.0,0.0,0.0,0.0,0.0
Y18H3060422P01T02,Y18H3060422P01,2018,3,2,1080,1150,70,67,3,0.0,25.21,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Nillumbik (S),Change Mode,Train,1.01,22.58,1.63,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,5,52.0,10.0,0.0,0.0,0.0,0.0
Y18H3060427P01T01,Y18H3060427P01,2018,3,1,720,795,75,55,20,195.0,25.46,Accommodation,Survey Home,At Home,At home,Social Place,Theatre,Social,"Watched concert, movies etc",Nillumbik (S),Melbourne (C),Social,Train,1.4,23.65,0.4,0.0,0.0,0.0,0.0,Vehicle Passenger,Train,Walking,0,0,0,0,5,35.0,15.0,0.0,0.0,0.0,0.0
Y18H3060427P01T02,Y18H3060427P01,2018,3,2,990,1060,70,65,5,0.0,25.8,Social Place,Theatre,Social,"Watched concert, movies etc",Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Nillumbik (S),Change Mode,Train,0.4,23.65,1.74,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Passenger,0,0,0,0,15,40.0,10.0,0.0,0.0,0.0,0.0
Y18H3060427P02T01,Y18H3060427P02,2018,3,1,720,795,75,55,20,195.0,25.46,Accommodation,Survey Home,At Home,At home,Social Place,Theatre,Social,"Watched concert, movies etc",Nillumbik (S),Melbourne (C),Social,Train,1.4,23.65,0.4,0.0,0.0,0.0,0.0,Vehicle Driver,Train,Walking,0,0,0,0,5,35.0,15.0,0.0,0.0,0.0,0.0
Y18H3060427P02T02,Y18H3060427P02,2018,3,2,990,1060,70,65,5,10.0,25.8,Social Place,Theatre,Social,"Watched concert, movies etc",Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Nillumbik (S),Change Mode,Train,0.4,23.65,1.74,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Driver,0,0,0,0,15,40.0,10.0,0.0,0.0,0.0,0.0
Y18H3061009P02T01,Y18H3061009P02,2018,3,1,360,470,110,104,6,520.0,111.46,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Greater Geelong (C),Melbourne (C),Work Related,Train,36.24,75.02,0.2,0.0,0.0,0.0,0.0,Vehicle Driver,Train,Walking,0,0,0,0,39,59.0,6.0,0.0,0.0,0.0,0.0
Y18H3061009P02T02,Y18H3061009P02,2018,3,2,990,1098,108,99,9,0.0,112.25,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Greater Geelong (C),Change Mode,Train,0.2,75.02,37.04,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Driver,0,0,0,0,4,62.0,33.0,0.0,0.0,0.0,0.0
Y18H3070201P01T01,Y18H3070201P01,2018,5,1,660,770,110,110,0,340.0,34.67,Accommodation,Survey Home,At Home,At home,Recreational Place,Sport Ground or Oval,Recreational,Participated in sport,Greater Dandenong (C),Melbourne (C),Recreational,Train,1.32,10.06,13.44,9.01,0.84,0.0,0.0,Walking,Train,Public Bus,Train,Walking,0,0,30,20.0,15.0,15.0,30.0,0.0,0.0
